@id,name,shop,lng,lat
"node/2166836675","La Fontaine aux Fougères","farm",0.2228997,47.29031
"node/2173825907","Logis de la Pataudière","farm",0.3207774,47.0381741
"node/2174186976","La Fermière","farm",5.5935197,45.1273227
"node/2191776397","undefined","farm",-2.3321545,42.894181
"node/2197891468","undefined","farm",-2.3168367,42.8900694
"node/2199875002","Ferme de la Couture","farm",1.9578754,49.0488416
"node/2204870429","Ferme du parc","farm",5.7540715,44.9535991
"node/2293458086","undefined","farm",1.5142199,48.7632343
"node/2303975649","Panier Paysan","farm",4.1624979,45.2889663
"node/2314087038","La ferme des Genestes","farm",1.2233842,44.9801691
"node/2337697501","Harschberger Hofladen","farm",7.1185428,49.468886
"node/2346982959","undefined","farm",7.6878407,47.1602586
"node/2346982961","undefined","farm",7.6866258,47.1607711
"node/2360441243","Jardins oasis","farm",4.2448936,45.494699
"node/2381343399","Hofladen Klug","farm",7.8871232,49.4959447
"node/2381457220","Jardin de Cocagnes","farm",7.129122,43.7409738
"node/2395973332","E.S.A.T. LES HARDYS-BEHELEC","farm",-2.4331905,47.8003747
"node/2406109852","C'tout bio","farm",2.0776932,49.0231483
"node/2411141570","Familie Odermatt","farm",8.0057312,47.1853708
"node/2416100924","undefined","farm",3.9592073,44.0909063
"node/2417228483","Fruitière à comté de la Vallée du Hérisson","farm",5.7750751,46.6621882
"node/2429277244","Boutique paysanne","farm",4.362985,44.5057152
"node/2432032179","undefined","farm",-1.4290432,46.2289654
"node/2439032871","undefined","farm",3.8604704,44.118408
"node/2444455189","Le verger de Venoix","farm",-0.4007169,49.1760084
"node/2453099035","Miel de Sully","farm",4.4713172,47.0090246
"node/2468025634","undefined","farm",6.807204,48.0926157
"node/2469929687","Les Jardins Épicés","farm",5.8054298,45.1451645
"node/2470405275","Ferme Maurice","farm",6.7743662,48.1254303
"node/2472118914","El Huerto alimentación","farm",-3.6962449,40.40106
"node/2477418211","Les Vergers de la Malonie","farm",1.4605638,45.4742804
"node/2481207779","undefined","farm",2.9538704,48.3984213
"node/2485570218","Jardins de la Croisière","farm",3.287422,48.1806966
"node/2494876663","Beckekarlihof","farm",7.955948,48.3509432
"node/2497004102","undefined","farm",7.6374049,45.044853
"node/2497836389","undefined","farm",2.4480661,43.2078867
"node/2500443799","Hofladen","farm",7.9223311,46.8089052
"node/2519845526","undefined","farm",-3.7121029,47.9782272
"node/2556762450","Maison Fontina","farm",7.3478071,45.7408254
"node/2585080638","L'Escargot de Cleurie","farm",6.7491338,48.0809735
"node/2592653065","Laurel","farm",-3.8208082,43.4608553
"node/2613280755","La ferme du Treuil Charré","farm",-0.9966418,46.1359173
"node/2616687979","Ferme de Vertessec","farm",-0.7695798,45.0028349
"node/2642589874","Bisonzucht","farm",7.6521412,49.4923838
"node/2649868142","La Charme","farm",6.7426546,45.875832
"node/2660367752","El Bargueño Toledano - Exposición","farm",-4.0229311,39.8602242
