imgpath;name;ferme;code;ville;poids;grasse;lat;lng
P1010550.JPG;;;;;;;;
P1010551.JPG;;;;;;;;
P1010552.JPG;;Soignon;79400;Saint-Maixent;180;45;46.4064362;-0.2011195
P1010553.JPG;;;;;;;;
P1010554.JPG;;P. Jaqcuin;;La Vernelle;;45;47.2479803;1.5439112
P1010555.JPG;Selles sur Cher;Jacquin Pascal et fils;;La Vernelle;150;;47.2479803;1.5439112
P1010556.JPG;;;16230;Puyréaux;130;45;45.87633604525778;0.20031783760434202
P1010557.JPG;Crottin de Chavignol;Chamaillard Frères;18240;Santranges;60;45;47.4981798;2.7726737
P1010558.JPG;Crottin de Chavignol;Chamaillard Frères;18240;Santranges;60;;47.4981798;2.7726737
P1010559.JPG;;Ferme de Forgues;09120;Loubens;;;43.0446009;1.5457108
P1010560.JPG;;;;;;;;
P1010561.JPG;;;;;;;;
P1010562.JPG;Grizou Cévenol;La fromagerie des Cévennes;48110;Moissac-Vallée-Française;70;;44.1632402;3.7850987
P1010563.JPG;Petit Pouligny Saint Pierre;;;toulouse;150;;43.6044622;1.4442469
P1010567.JPG;Etche Goinia;EARL Etchegonia - Chez Minjou;64240;Ayherre;;;43.38125241068826;-1.245565698791896
P1010568.JPG;;;;;;;;
P1010569.JPG;;;;;;;;
P1010570.JPG;;;;;;;;
P1010571.JPG;;;;;;;;
P1010572.JPG;;;;;;;;
P1010573.JPG;;;;;;;;
P1010574.JPG;;;;;;;;
P1010575.JPG;;;;;;;;
P1010576.JPG;;;;;;;;
P1010577.JPG;;;;;;;;
P1010578.JPG;;;;;;;;
P1010579.JPG;;;;;;;;
P1010580.JPG;;;;;;;;
P1010581.JPG;;;;;;;;
P1010582.JPG;;;;;;;;
P1010583.JPG;;;;;;;;
P1010584.JPG;;;;;;;;
P1010585.JPG;;;;;;;;
P1010586.JPG;;;;;;;;
P1010587.JPG;;;;;;;;
P1010588.JPG;;;;;;;;
P1010589.JPG;;;;;;;;
P1010590.JPG;;;;;;;;
P1010591.JPG;;;;;;;;
P1010592.JPG;Petit Billy;Triballat Noyal;35530;Noyal sur Vilaine;200;45;48.1140789;-1.5234735
P1010593.JPG;Selles sur Cher;P. Jacquin;;;150;;;
P1010594.JPG;;Bougault;81700;Puylaurens;;45;43.5726147;2.0134036
P1010595.JPG;Cabécou;Sarl Chênevert;24300;Saint Front la Rivière;35;45;45.4730556;0.7272222
P1010597.JPG;La Biquette;CLRL Verneuil Reignac;37600;Verneuil sur Indre;220;45;47.0556467;1.042284776658962
P1010598.JPG;Le pebre d'Aï de la Sainte Beaume;Denis Carel;83136;La Roquebrussanne;;45;43.3402271;5.9763214
P1010599.JPG;Picodon;SCOFF Valcrest;26400;Crest;62.5;45;44.7282675;5.0236641
P1010600.JPG;;Chèvrerie du Puy violent;15140;Vielmur;;45;45.1302995;2.5135734
P1010602.JPG;Crottin de Chavignol;Triballat;18220;Rians;60;;47.1855657;2.6131277
P1010603.JPG;;GAEC des prés;26310;La Batie des Fonds;;;44.5140237;5.6385549
P1010604.JPG;Rocamadour fermier;;46500;Alvignac;35;;44.826862;1.692873
P1010605.JPG;Van Dooren B.;La Font salée;15400;Apchon;;45;45.2489252;2.6935258
P1010606.JPG;Cabécou fermier;Ferme Linol;46200;Lachapelle Auzac;35;45;44.938139199999995;1.480577314052891
P1010607.JPG;Le Moissac des Cévennes;;Moissac Vallée Française;48110;60;45;44.1632402;3.7850987
P1010608.JPG;Lesty éleveur-producteur;Ferme des 3 ponts;78610;Auffargis;;45;48.6998475;1.8861417
P1010609.JPG;Sainte Beaume;Ambroggi-Bourdillat;83136;Méounes lès Montrieux;;45;43.2812379;5.970272
P1010610.JPG;Le rondon d'Alvignac;Les Gariottes;46500;Alvignac;120;45;44.826862;1.692873
P1010611.JPG;Le palet Maursois;Chantal Vigier;15600;Labrunie;40;;44.779053;2.2602377
P1010612.JPG;Le Terrou;Ferme Mazet;46500;Gramat;;45;44.7789948;1.723394
P1010613.JPG;Le Valaine;Ferme de la Valaine;76790;Etretat;;;49.7074621;0.2031905
P1010614.JPG;Fromage de chèvre du Verdon;Earl Le Verdon;83630;Bauduen;;45;43.7332746;6.1762369
P1010615.JPG;Cabécou de Rocamadour;Francis Verdier;46130;Vailles;;45;44.8796957;1.821405
P1010616.JPG;Le grand Vielleux;Affineur Dubois-Boulay;18300;Sancerre;120;45;47.3307251;2.8390333
P1010617.JPG;Crottin de chèvre;Triballat;18220;Rians;60;45;47.1855657;2.6131277
P1010618.JPG;Le petit Hervé;J.-L. Pascreau;85210;Saint Juire Champgillon;180;45;46.5788889;-1.0261111
P1010619.JPG;Pélardon des Cévennes;Fromagerie de Moissac;48110;Moissac-Vallée-Française;70;50;44.1632402;3.7850987
P1010620.JPG;Crottin de Chavignol;Dubois-Boulay;18300;Chavignol;60;;47.3375789;2.799142
P1010621.JPG;Le Puy du Fou;Loic Chupin;85500;Les Herbiers;180;45;46.8714322;-1.0150302
P1010622.JPG;Rocamadour;Le Terrou;46500;Gramat;35;;44.7789948;1.723394
P1010623.JPG;Rocamadour;Ferme du Mas de Thomas;46160;Saint Sulpice;35;;44.5697598;1.7910767
P1010624.JPG;Chèvre sur feuille;Affineur Jean-Noêl Lavergne;79500;Chail;200;45;46.2021241;-0.07569542361856593
P1010625.JPG;Crottin de Chavignol;Triballat;18220;Rians;60;;47.1855657;2.6131277
P1010626.JPG;Rocamadour;Fromagerie Verdier;46130;Vailles;35;45;44.8796957;1.821405
P1010627.JPG;Chèvre du Périgord;Lucien Risser;24190;Neuvic sur l'Isle;135;45;45.0635281;0.4274931
P1010628.JPG;Amalthée;Laiterie coop.;79110;Chef-Boutonne;140;45;46.1159102;-0.07939626915895345
P1010629.JPG;Pélardon cigalois;Fromagère cigaloise;30170;Saint Hippolyte du Fort;60;;43.9643602;3.8564364
P1010630.JPG;Pélardon des Cévennes;Leclere;30270;Saint Jean du Gard;60;;44.1053053;3.8846803
P1010631.JPG;Le Bigoton;La chèvrerie d'Authon;41310;Authon;;45;47.6457008;0.8949185
P1010632.JPG;Bouchon de Sancerre;Triballat;18220;Rians;25;45;47.1855657;2.6131277
P1010633.JPG;Le bois des Louvières;Milhiet;28500;Marsauceux;60;;48.7267834;1.4397718
P1010634.JPG;Selles sur Cher;Affineur Michel Hardy;41130;Meusnes;140;;47.2508617;1.4988676
P1010635.JPG;Crottin de Chavignol;Ferme du Tureau;18400;Primelles;65;;46.9284821;2.2120717
P1010636.JPG;Crottin du Berry;Coop. fromagère;36210;Anjouin;60;45;47.1890873;1.8024553
P1010637.JPG;Clacbitou;La Racotière;71420;Génelard;;45;46.5806827;4.2355945
P1010638.JPG;;Affineur E. Gaillard;41700;Contres;300;45;47.42095475;1.4506054323549362
P1010639.JPG;Crottin;Fromagerie artisanale;24300;Saint Martial de Valette;70;45;45.5172222;0.6508333
P1010640.JPG;Crottin du Morvan;Les Chapoutins;89270;Essert;60;45;47.6392148;3.7878518
P1010641.JPG;;Chevenet;71870;Hurigny;;45;46.3485824;4.7965849
P1010642.JPG;;Patrick Boucheron;45270;Nesploy;;45;47.99625;2.36045
P1010643.JPG;Crottin de Chavignol;Chamaillard;18240;Santranges;60;;47.4981798;2.7726737
P1010644.JPG;;Chamaillard affineur;;Santranges;140;;47.4981798;2.7726737
P1010645.JPG;Le Chabichou;Gaillard affineur;41700;Contres;150;45;47.42095475;1.4506054323549362
P1010646.JPG;Le Soignon;Fromagerie de Soignon;79400;Saint Maixent;110;45;46.4064362;-0.2011195
P1010647.JPG;;;;;;;;
P1010648.JPG;;;;;;;;
P1010649.JPG;;;;;;;;
P1010650.JPG;;;;;;;;
P1010651.JPG;Pas de Blenac;;17250;Sainte Gemme;150;45;45.7721771;-0.8877092
P1010652.JPG;;;;;;;;
P1010653.JPG;;;;;;;;
P1010654.JPG;;;;;;;;
P1010658.JPG;Selles sur Cher;Moreau / Ferme de Bellevue;41400;Pontlevoy;150;;47.38812;1.25279
P1010659.JPG;Areilladou;Laiterie Carrier;07600;Vals les Bains;60;;44.6553304;4.365739
P1010660.JPG;Rocamadour;Bigeat;19600;Estivals;35;;45.0282312;1.4621302
P1010661.JPG;Mothais sur feuille;Danmaille;79110;Chef-Boutonne;200;;46.1159102;-0.07939626915895345
P1010662.JPG;Crottin de Chavignol;Laiterie de Feux;18220;Les Aix d'Angillon;60;;47.1990036;2.5715314
P1010663.JPG;La fleur de Sologne;Hardy affineur;41130;Chatillon sur Cher;80;;47.2740542;1.4941856
P1010664.JPG;Bûchette;Fromages Basilou;61170;Saint Julien sur Sarthe;;;48.4904906;0.3578075
P1010665.JPG;Le Malvault;La fromagerie du Thouet;79130;Azay sur Thouet;180;50;46.6244678;-0.3490138
P1010666.JPG;;Barot / Domaine de Sansac;24300;Saint Front sur Nizonne;;;45.4822222;0.6366667
P1010667.JPG;;;;;;;;
P1010668.JPG;La Caprovine;Ferme de Périchon;07210;Rochessauve;;;44.6796032;4.6260059
P1010670.JPG;;GAEC de Très le Serre;07000;Pranles;;;44.7720543;4.5745467
P1010671.JPG;;Laiterie coop. de Soignon;79400;Soignon;45;;46.3879542;-0.1904068
P1010672.JPG;;;79120;Lezay;;45;46.2652441;-0.0103871
P1010673.JPG;Le bon Chabi;Réchard;79430;La Chapelle Saint Laurent;;45;46.746221;-0.4766783
P1010674.JPG;Mi chèvre;;79120;Lezay;;;46.2652441;-0.0103871
P1010675.JPG;Mi chèvre;Laiterie coop.;79500;Chail;;30;46.2021241;-0.07569542361856593
P1010676.JPG;Mi chèvre;Coop. laitière;79370;Celles sur Belle;;30;46.257713949999996;-0.21020600942692336
P1010677.JPG;Soignon;Laiterie coop.;79400;Soignon;;45;46.3879542;-0.1904068
P1010678.JPG;Chail;;79500;Chail;;45;46.2021241;-0.07569542361856593
P1010679.JPG;La Chevrette;;36600;Valençay;;50;47.161511;1.5666078
P1010653.JPG;Chail;Laiterie coop. de la Mothe Saint Héray;79500;la Mothe Saint Héray;130;50;46.360836899999995;-0.11121345326829199
P1010681.JPG;Le Clerville;;86200;Clerville;;45;46.9535743;0.1845211
